"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1507,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","白幡向町","妙蓮寺","10",44000000,"1000000","","145",310000,"ほぼ正方形","11.0","","","","","住宅","北","市道",10.0,"第２種中高層住居専用地域",60,150,"2017年第１四半期","",""
1508,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",39000000,"","２ＬＤＫ","55",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2021年第４四半期","改装済",""
1509,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",39000000,"","２ＬＤＫ","55",,"","","","平成16年","","","住宅","","",,"工業地域",60,200,"2021年第４四半期","改装済",""
1510,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",32000000,"","２ＬＤＫ","55",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2021年第３四半期","未改装",""
1511,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",40000000,"","２ＬＤＫ","50",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2021年第３四半期","改装済",""
1512,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",40000000,"","３ＬＤＫ","70",,"","","","平成15年","ＲＣ","住宅","","","",,"工業地域",60,200,"2021年第２四半期","未改装",""
1513,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",36000000,"","２ＬＤＫ","55",,"","","","平成16年","ＲＣ","","住宅","","",,"工業地域",60,200,"2020年第４四半期","",""
1514,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","3",34000000,"","２ＬＤＫ","55",,"","","","平成16年","ＲＣ","","住宅","","",,"工業地域",60,200,"2020年第３四半期","未改装",""
1515,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","8",38000000,"","２ＬＤＫ","70",,"","","","平成15年","","","住宅","","",,"工業地域",60,200,"2020年第３四半期","未改装",""
1516,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",37000000,"","３ＬＤＫ","60",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2020年第３四半期","改装済",""
1517,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","3",34000000,"","２ＬＤＫ","55",,"","","","平成13年","ＲＣ","","住宅","","",,"工業地域",60,200,"2020年第３四半期","未改装",""
1518,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",37000000,"","２ＬＤＫ","55",,"","","","平成16年","ＲＣ","","住宅","","",,"工業地域",60,200,"2020年第２四半期","改装済",""
1519,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",41000000,"","３ＬＤＫ","65",,"","","","平成16年","ＲＣ","","住宅","","",,"工業地域",60,200,"2020年第２四半期","改装済",""
1520,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",40000000,"","３ＬＤＫ","60",,"","","","平成18年","","","住宅","","",,"工業地域",60,200,"2020年第１四半期","改装済",""
1521,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",36000000,"","２ＤＫ","55",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2020年第１四半期","改装済",""
1522,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",36000000,"","３ＬＤＫ","70",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2019年第４四半期","未改装",""
1523,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",34000000,"","３ＬＤＫ","65",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2019年第３四半期","未改装",""
1524,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",38000000,"","３ＬＤＫ","65",,"","","","平成15年","ＲＣ","","住宅","","",,"工業地域",60,200,"2019年第２四半期","",""
1525,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",32000000,"","２ＬＤＫ","60",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2019年第２四半期","未改装",""
1526,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",38000000,"","３ＬＤＫ","60",,"","","","平成16年","ＲＣ","","住宅","","",,"工業地域",60,200,"2019年第２四半期","未改装",""
1527,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",44000000,"","４ＬＤＫ","80",,"","","","平成16年","ＲＣ","","住宅","","",,"工業地域",60,200,"2019年第２四半期","未改装",""
1528,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","4",30000000,"","２ＬＤＫ","50",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2019年第１四半期","",""
1529,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",34000000,"","３ＬＤＫ","70",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第４四半期","未改装",""
1530,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",32000000,"","２ＬＤＫ","50",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第４四半期","未改装",""
1531,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",36000000,"","３ＬＤＫ","70",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第３四半期","未改装",""
1532,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",30000000,"","２ＬＤＫ","55",,"","","","平成16年","","","住宅","","",,"工業地域",60,200,"2018年第３四半期","未改装",""
1533,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",29000000,"","２ＬＤＫ","50",,"","","","平成16年","ＲＣ","","住宅","","",,"工業地域",60,200,"2018年第２四半期","未改装",""
1534,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","8",36000000,"","３ＬＤＫ","65",,"","","","平成15年","","","住宅","","",,"工業地域",60,200,"2018年第２四半期","改装済",""
1535,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",39000000,"","３ＬＤＫ","70",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第１四半期","改装済",""
1536,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","3",32000000,"","２ＤＫ","60",,"","","","平成16年","ＲＣ","","住宅","","",,"工業地域",60,200,"2018年第１四半期","未改装",""
1537,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","5",34000000,"","２ＬＤＫ","55",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2018年第１四半期","未改装",""
1538,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","3",25000000,"","３ＬＤＫ","70",,"","","","平成16年","ＲＣ","","その他","","",,"工業地域",60,200,"2017年第４四半期","未改装",""
1539,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",24000000,"","３ＬＤＫ","65",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第４四半期","未改装",""
1540,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",34000000,"","３ＬＤＫ","70",,"","","","平成15年","ＲＣ","住宅","その他","","",,"準工業地域",60,200,"2017年第３四半期","未改装",""
1541,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",39000000,"","３ＬＤＫ","65",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第２四半期","改装済",""
1542,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","3",37000000,"","３ＬＤＫ","70",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第２四半期","未改装",""
1543,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",35000000,"","３ＬＤＫ","70",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第１四半期","未改装",""
1544,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","3",31000000,"","２ＬＤＫ","55",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第１四半期","未改装",""
1545,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新浦島町","神奈川新町","6",35000000,"","３ＬＤＫ","70",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2017年第１四半期","未改装",""
1546,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","新子安","大口","11",57000000,"","","140",,"袋地等","6.0","100","平成19年","木造","共同住宅","","西","市道",3.6,"近隣商業地域",80,200,"2018年第３四半期","",""
1547,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","大口","8",34000000,"","２ＬＤＫ","65",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第２四半期","未改装",""
1548,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","京急新子安","8",53000000,"","３ＬＤＫ","70",,"","","","平成12年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第２四半期","未改装",""
1549,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","京急新子安","8",52000000,"","２ＬＤＫ","70",,"","","","平成12年","","","住宅","","",,"第１種住居地域",60,200,"2018年第３四半期","改装済",""
1550,"宅地(土地と建物)","商業地","14102","神奈川県","横浜市神奈川区","新子安","京急新子安","8",230000000,"","","440",,"台形","18.5","590","平成15年","鉄骨造","工場","事務所","北西","国道",27.0,"近隣商業地域",80,200,"2017年第３四半期","",""
1551,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","新子安","新子安","11",19000000,"210000","","300",64000,"不整形","30.0","","","","","","南西","市道",5.0,"第１種住居地域",60,200,"2022年第１四半期","",""
1552,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",48000000,"","２ＬＤＫ","60",,"","","","平成27年","","住宅","住宅","","",,"第１種住居地域",60,200,"2022年第１四半期","未改装",""
1553,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","8",55000000,"","３ＬＤＫ","70",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2022年第１四半期","未改装",""
1554,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","4",5700000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2022年第１四半期","改装済",""
1555,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","7",5800000,"","１Ｋ","15",,"","","","昭和62年","","","住宅","","",,"近隣商業地域",80,200,"2022年第１四半期","未改装",""
1556,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","新子安","新子安","9",68000000,"","","150",,"長方形","13.8","135","平成2年","軽量鉄骨造","共同住宅","住宅","北","市道",5.8,"第２種中高層住居専用地域",60,150,"2021年第４四半期","",""
1557,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","5",50000000,"","３ＬＤＫ","70",,"","","","平成12年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第４四半期","未改装",""
1558,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","5",52000000,"","３ＬＤＫ","70",,"","","","平成12年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第４四半期","未改装",""
1559,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","8",35000000,"","３ＬＤＫ","75",,"","","","平成7年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2021年第４四半期","未改装",""
1560,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","新子安","新子安","9",49000000,"","","150",,"ほぼ台形","11.8","135","平成2年","軽量鉄骨造","共同住宅","住宅","北","市道",5.8,"第２種中高層住居専用地域",60,150,"2021年第３四半期","",""
1561,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","4",4700000,"","１Ｋ","15",,"","","","昭和60年","","","住宅","","",,"第１種住居地域",60,200,"2021年第３四半期","未改装",""
1562,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","8",43000000,"","３ＬＤＫ","70",,"","","","平成11年","","","住宅","","",,"第１種住居地域",60,200,"2021年第３四半期","未改装",""
1563,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","10",31000000,"","３ＬＤＫ","65",,"","","","平成12年","","","住宅","","",,"第１種住居地域",60,200,"2021年第３四半期","改装済",""
1564,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",37000000,"","３ＬＤＫ","60",,"","","","平成17年","ＲＣ","","住宅","","",,"近隣商業地域",80,200,"2021年第３四半期","",""
1565,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",43000000,"","２ＬＤＫ","65",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第３四半期","改装済",""
1566,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",45000000,"","２ＬＤＫ","60",,"","","","","","","住宅","","",,"",,,"2021年第１四半期","",""
1567,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","8",42000000,"","３ＬＤＫ","70",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","改装済",""
1568,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",63000000,"","３ＬＤＫ","70",,"","","","平成27年","ＲＣ、鉄骨造","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
1569,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",52000000,"","３ＬＤＫ","65",,"","","","平成27年","ＲＣ、鉄骨造","","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
1570,"宅地(土地と建物)","商業地","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",150000000,"","","460",,"ほぼ長方形","30.0","530","平成17年","ＲＣ","事務所、倉庫","事務所","北西","国道",25.0,"近隣商業地域",80,200,"2020年第４四半期","",""
1571,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","5",58000000,"","３ＬＤＫ","75",,"","","","平成12年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","改装済",""
1572,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","新子安","新子安","9",65000000,"","","165",,"ほぼ台形","15.0","175","平成10年","鉄骨造","住宅","事務所","西","市道",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
1573,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",5700000,"","１Ｋ","15",,"","","","昭和62年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,200,"2020年第３四半期","未改装",""
1574,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","4",9000000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","",""
1575,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","8",39000000,"","３ＬＤＫ","70",,"","","","平成11年","","","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","改装済",""
1576,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",46000000,"","３ＬＤＫ","70",,"","","","平成27年","","","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","未改装",""
1577,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","5",52000000,"","３ＬＤＫ","65",,"","","","平成27年","","","住宅","","",,"第１種住居地域",60,200,"2020年第２四半期","未改装",""
1578,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","4",40000000,"","３ＬＤＫ","75",,"","","","平成22年","","","住宅","","",,"第１種住居地域",60,200,"2020年第２四半期","未改装",""
1579,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","4",7400000,"","１Ｋ","15",,"","","","","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第２四半期","未改装",""
1580,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","新子安","新子安","8",200000000,"","","300",,"ほぼ長方形","16.0","720","平成6年","ＲＣ","共同住宅","住宅","西","市道",6.0,"第２種中高層住居専用地域",60,150,"2020年第１四半期","",""
1581,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",50000000,"","２ＬＤＫ","65",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第１四半期","改装済",""
1582,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","9",29000000,"","２ＬＤＫ","55",,"","","","平成13年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第１四半期","",""
1583,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",53000000,"","３ＬＤＫ","65",,"","","","平成27年","ＲＣ、鉄骨造","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第４四半期","未改装",""
1584,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",45000000,"","３ＬＤＫ","70",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第４四半期","",""
1585,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","4",4400000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第４四半期","未改装",""
1586,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","8",34000000,"","３ＬＤＫ","65",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第４四半期","未改装",""
1587,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","3",43000000,"","２ＬＤＫ","60",,"","","","","","","住宅","","",,"",,,"2019年第３四半期","",""
1588,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",55000000,"","３ＬＤＫ","70",,"","","","平成27年","ＲＣ、鉄骨造","","住宅","","",,"第１種住居地域",60,200,"2019年第３四半期","未改装",""
1589,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","5",30000000,"","３ＬＤＫ","65",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第３四半期","未改装",""
1590,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",50000000,"","３ＬＤＫ","65",,"","","","平成27年","ＲＣ、鉄骨造","","住宅","","",,"第１種住居地域",60,200,"2019年第２四半期","未改装",""
1591,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","7",8100000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第２四半期","未改装",""
1592,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","3",52000000,"","４ＬＤＫ","75",,"","","","","","住宅","住宅","","",,"",,,"2019年第２四半期","未改装",""
1593,"宅地(土地)","住宅地","14102","神奈川県","横浜市神奈川区","新子安","新子安","2",6500000,"570000","","35",170000,"ほぼ長方形","4.5","","","","","店舗","南西","私道",4.5,"近隣商業地域",80,200,"2019年第１四半期","",""
1594,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","新子安","新子安","8",64000000,"","","145",,"ほぼ台形","10.0","180","平成10年","木造","住宅","住宅","北","市道",5.2,"第１種住居地域",60,200,"2019年第１四半期","",""
1595,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","4",11000000,"","１ＤＫ","15",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2019年第１四半期","未改装",""
1596,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",51000000,"","３ＬＤＫ","70",,"","","","平成27年","ＲＣ、鉄骨造","","住宅","","",,"第１種住居地域",60,200,"2019年第１四半期","未改装",""
1597,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",50000000,"","２ＬＤＫ","65",,"","","","平成27年","ＲＣ、鉄骨造","","住宅","","",,"第１種住居地域",60,200,"2019年第１四半期","未改装",""
1598,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",43000000,"","","45",,"台形","5.0","75","平成28年","木造","住宅","住宅","北西","市道",4.0,"近隣商業地域",80,200,"2018年第４四半期","",""
1599,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","新子安","新子安","9",18000000,"","","85",,"ほぼ長方形","9.8","85","昭和49年","木造","住宅","住宅","南東","私道",4.0,"第１種住居地域",60,200,"2018年第４四半期","",""
1600,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","5",45000000,"","２ＬＤＫ","65",,"","","","平成28年","","","住宅","","",,"第１種住居地域",60,200,"2018年第４四半期","未改装",""
1601,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",59000000,"","３ＬＤＫ","70",,"","","","平成27年","ＲＣ、鉄骨造","","住宅","","",,"第１種住居地域",60,200,"2018年第４四半期","未改装",""
1602,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",49000000,"","３ＬＤＫ","65",,"","","","平成27年","ＲＣ、鉄骨造","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第３四半期","未改装",""
1603,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",54000000,"","２ＬＤＫ","75",,"","","","平成12年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第３四半期","未改装",""
1604,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","3",11000000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第２四半期","未改装",""
1605,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",42000000,"","３ＬＤＫ","70",,"","","","平成12年","ＳＲＣ","","住宅","","",,"第１種住居地域",60,200,"2018年第２四半期","未改装",""
1606,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","3",8300000,"","オープンフロア","15",,"","","","昭和63年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2018年第２四半期","改装済",""
1607,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",57000000,"","３ＬＤＫ","70",,"","","","平成27年","ＲＣ、鉄骨造","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第２四半期","未改装",""
1608,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",49000000,"","２ＬＤＫ","60",,"","","","平成12年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第２四半期","未改装",""
1609,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","8",28000000,"","３ＬＤＫ","65",,"","","","平成12年","ＲＣ","","その他","","",,"第１種住居地域",60,200,"2018年第１四半期","未改装",""
1610,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",47000000,"","２ＬＤＫ＋Ｓ","70",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第１四半期","改装済",""
1611,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","4",53000000,"","３ＬＤＫ","65",,"","","","平成27年","","住宅","住宅","","",,"第１種住居地域",60,200,"2017年第４四半期","未改装",""
1612,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","3",6900000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2017年第２四半期","改装済",""
1613,"宅地(土地と建物)","住宅地","14102","神奈川県","横浜市神奈川区","新子安","新子安","5",42000000,"","","55",,"ほぼ長方形","4.6","90","","","","住宅","北西","市道",4.0,"近隣商業地域",80,200,"2017年第１四半期","","私道を含む取引"
1614,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",45000000,"","３ＬＤＫ","70",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2017年第１四半期","未改装",""
1615,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",34000000,"","２ＬＤＫ","60",,"","","","平成12年","ＳＲＣ","住宅","","","",,"第１種住居地域",60,200,"2017年第１四半期","未改装",""
1616,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","8",5600000,"","","15",,"","","","昭和62年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,200,"2017年第１四半期","",""
1617,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新子安","新子安","6",46000000,"","３ＬＤＫ","70",,"","","","平成12年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2017年第１四半期","",""
1618,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新町","神奈川新町","2",6500000,"","","15",,"","","","平成4年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2022年第１四半期","未改装",""
1619,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新町","神奈川新町","2",8000000,"","１ＤＫ","15",,"","","","平成4年","ＳＲＣ","","住宅","","",,"商業地域",80,400,"2021年第３四半期","",""
1620,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新町","神奈川新町","4",24000000,"","１Ｋ","20",,"","","","平成29年","ＳＲＣ","住宅","事務所","","",,"商業地域",80,400,"2021年第１四半期","",""
1621,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新町","神奈川新町","3",39000000,"","３ＬＤＫ","55",,"","","","平成6年","ＲＣ","","住宅","","",,"商業地域",80,400,"2020年第４四半期","改装済",""
1622,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新町","神奈川新町","4",24000000,"","２ＬＤＫ","50",,"","","","昭和55年","","","住宅","","",,"商業地域",80,400,"2020年第４四半期","改装済",""
1623,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新町","神奈川新町","2",5800000,"","１Ｋ","15",,"","","","平成4年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
1624,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新町","神奈川新町","5",17000000,"","１ＬＤＫ","35",,"","","","昭和55年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","改装済",""
1625,"中古マンション等","","14102","神奈川県","横浜市神奈川区","新町","神奈川新町","5",30000000,"","３ＤＫ","50",,"","","","昭和55年","ＲＣ","住宅","住宅","","",,"",,,"2020年第３四半期","改装済",""
